,title,link,tag
0,"우울한 날, 포근하게 안아주는 위로노래모음 | PLAYLIST",/watch?v=4xsser5_duU,#우울한날 #슬픈노래 #힘들때듣기좋은노래
1,힙한 하루🤟 적당히 둠칫한 힙합 & 알앤비 노래모음 | PLAYLIST,/watch?v=OiFTo6AkADU,#힙합노래모음 #감성힙합 #알앤비
2,가정의 달👪 부모님 생각나는 가족노래모음 | PALYLIST,/watch?v=a2WXrPQE9UA,#가족노래모음 #가족노래 #부모님노래
3,전남친 전여친 생각나는 이별노래모음 | PLAYLIST,/watch?v=Vh0omXrlS5k,#이별노래모음 #이별플리 #헤어진날
4,짝사랑 말고🙅‍♀️ 짝이 생기게 되는 잔잔한 고백 노래모음 | PLAYLIST,/watch?v=r6hnnDgXPvM,#짝사랑노래 #고백노래 #설레는노래
5,신나는 노동요😎 내적댄스 샘솟는 걸그룹 & 여자아이돌 노래모음 | PLAYLIST,/watch?v=FbwBprHeLrQ,#여자아이돌노래모음 #걸그룹노래모음 #여돌노래모음
6,[PLAYLIST] 올 봄에는 짝사랑이 성공하길🙏 봄에 듣기 좋은 따뜻한 사랑노래모음,/watch?v=4WNJE9gq030,#봄노래모음 #봄에듣기좋은노래 #봄노래
7,"나른한 봄날, 낮잠자며 듣기좋은 인디노래모음😴 | PLAYLIST",/watch?v=vh_JVKkpsL4,#낮잠잘때듣기좋은노래 #낮잠플리 #나른한노래
8,"[그시절] 나의 오래된 MP3 속, 2000년대 발라드 노래모음 | 𝗣𝗟𝗔𝗬𝗟𝗜𝗦𝗧 | 2000년대 노래모음",/watch?v=o-QxXe5kfoE,#2000년대노래 #2000년대발라드 #발라드노래모음
9,낮부터 밤까지 아이유 노래모음 50곡 | IU Playlist Best 50 Song | 플레이리스트,/watch?v=3FoJqr5pIS4,#아이유노래 #아이유노래모음 #아이유플레이리스트
10,남들 다 아는 노래말고 나만 알고싶은 인디 발라드 노래모음 | PLAYLIST,/watch?v=vVR03tYMvSk,#인디노래 #인디발라드 #발라드노래
11,캐빈말고 캐롤! 산타와 함께듣는 크리스마스 캐롤 노래모음 🎅☃️🌲 | Christmas Carols | PLAYLIST,/watch?v=EawahT8d6bQ,#크리스마스노래 #캐롤모음 #겨울노래
12,"도시의 밤, 드라이브 할 때 듣기좋은 레트로한 신스팝 | 시티팝 노래모음 | PLAYLIST",/watch?v=t0k3PlfD2q8,#신스팝 #시티팝 #드라이브음악
13,"[여자편] 헤어진 날,  술 한잔 생각나는 여자 이별노래모음 | PLAYLIST",/watch?v=le6Chb97d8Y,#이별노래 #여자발라드 #헤어진날
14,추운 겨울 이불속에서 듣기좋은 따뜻한 겨울노래모음 | PALYLIST,/watch?v=9Lg9zBdscHs,#겨울노래 #잔잔한겨울노래 #따뜻한노래
15,🍁가을밤 고막을 녹여줄 감성 알앤비 | PLAYLIST,/watch?v=MnTsGVO5KRA,#알앤비 #감성알앤비 #가을노래
16,[그시절] 부모님의 카세트 테이프 속 가을 노래 20곡 | 𝗣𝗟𝗔𝗬𝗟𝗜𝗦𝗧,/watch?v=uV0P2dw5LFU,#가을노래 #옛날노래 #90년대노래
17,👰🤵결혼 축하한다! 결혼식 축가 발라드 모음 | PLAYLIST,/watch?v=PohCUb2sX7I,#결혼식축가 #축가 #축가추천
18,"헤어진 날, 서럽게 울기좋은 이별노래모음 | PLAYLIST",/watch?v=VaQ3mWkX8lw,#헤어진날 #이별노래 #이별한날
