,title,link,tag,comment
0,[Playlist] 날씨도 좋은데 페스티벌 같이 갈래?,/watch?v=09WKP_unRPA,"['', '#페스티벌 #플레이리스트 #HausOfWonder']","['[Timeline]0:00~0:05 Countdown0:05 Tom Misch - South Of The River4:26 Tom Misch - Disco Yes9:00 Tom Misch - Movie14:54 New Hope Club - Know Me Too Well18:14 New Hope Club - Let Me Down Slow21:06 John K - if we never met23:30 John K - paracute26:06 ZICO - Being left (Feat. Dvwn) 29:39 Zion.T - No Make Up', '역시 필잇님 ~~ 선곡 센스가 남다르세요 !! 이제 올라가자 필잇 ', '첫 곡부터 어깨 두둠칫, 선곡 센스 ', '와 진짜 축제 분위기 제대로 ㅠㅠㅠㅠ', '너무 좋아요~^^ 덕분에 신 나는 월요일  아침을 보내고 있어요^^', '두듬칫~페스티벌 가고싶어요', '이 집 노래 맛있다..', '엄준식 화이팅', '굿']"
1,[Playlist] 날씨 좋을 때 들어요,/watch?v=ufVBInswfYw,"['', '#플레이리스트 #팝송 #봄']","[""요즘 날씨가 너무 좋죠?? 배경 사진은 제가 직접 찍은 거랍니다 비록 벚꽃시즌이 끝나긴 했지만 많이들 들어주세요!! 다들 따뜻하고 행복한 봄이 되시길 바라겠습니다:) 시험공부도 화이팅하세요~~![Timeline]0:01 Jesse Barrera, Michael Carreon, Albert Posis - Maybe We Could Be a Thing2:54 Jake Miller - Click5:59 schld - camellia8:30 Gavin James - Boxes11:17 Mae Muller - I Don't Want Your Money14:14 KIAN - Sunbeam17:40 Forrest Nolan - MIA20:25 Brdgs - Somebody Like You23:00 Balcony Weekend - Sweet Side25:19 Maro - Heart to Spare28:20 Hauskey - Go Wrong"", '와 진짜 노래가 멍 때리면서 듣기 딱 좋은거 같아요~', '항상 좋은 곡들 고맙습니다ㅎㅎ', '선곡 좋아요~', '연애 하고 싶어지는군요 항상 좋은 노래 감사합니다~', '첫곡부터 꿀보이스~  달달하네용 ', '구독자 수가 왜없는지 궁금한 채널1위', '이렇게 좋은곡 올려주시는 유튜버님 얼굴이 궁금합니다..!얼굴 보고싶습니다!', '저 오늘 벚꽃잎 잡았어요 ㅋ', '1']"
2,[Playlist] 연애하고 싶을 때 들어요,/watch?v=ZuEJiiZWwfk,"['', '#플레이리스트 #연애 #미비포유']","['[Timeline]0:01 Sam Ock - Something Devine3:23 AJ Rafael - She Was Mine (Feat. Jesse Barrera)7:31 Stephen Puth - Watching You Walk Away10:32 Stephanie Poetri - Bad Haircut (Feat. JVKE)14:14 Conor Matthews - Hit Me Back (Feat. Social House)17:23 Greg Gontier - You Got Me20:16 Adam Snow - Say to Me22:35 Ritt Momney - Put Your Records On26:03 Jack & Jack - Day Dreaming29:33 Pink Sweat$ - Nothing Feels Better', '역시 봄은 연애 시작하기 좋은 계절이죠️ 플레이 달달합니다', '진짜 이런노래들 어디서 찾아오시는거야ㅋㅋㅋ감사합니다.', '노래가 달달하네요', '샘옥 노래 바로나오니 넘좋네요', '연애하고싶어용(군인)', 'ㅎㅎㅎ', '야 이글 보고있는 잘생긴 너 내 남자해라', '1']"
3,[Playlist] 우울하고 공허할 때 들어요,/watch?v=eGkcl8y1mGk,"['', '#새벽 #감성 #플레이리스트']","[""편안한 밤 되세요[Timeline]0:01 hell9 - Sweet2:49 Adam Turley - Not Like You5:06 keshi - right here8:21 heyden - miller11:10 Anthony Watts - fml 14:01 Shoffy - Cat Cafe16:32 Chris James - Happy Ending19:38 Alex Aiono - Played Out (feat. Jake Miller)22:35 Lil Syko - Goin Thru25:37 John K - nothing with you27:54 Alessia Cara - I Miss You, Don't Call Me"", '과제하면서 듣고있는데 너무 좋아요 ㅠㅠ 잘 듣고갈게요 플리 감사합니다 :)', '어제 기분이 많이 꿀꿀해서 아직까지 잠을 못자고 있었는데 잘 들을게요 ️ 감사합니당', '지금 기분이 울적한 건 어떻게 아시고 때맞춰 올라왔네요,, 마침 새로운 플리를 원했는데 좋은 노래들 감사해요 잘 듣겠습니다', '선곡 너무 좋네요.. 잘들을게요~ㅎㅎ', '노래 너무 좋아요~', '새벽 잠못자고 있었는데 잘들을께요~', '편안해집니다.', '노래가 좋네요', '진짜 ㅈㄴ 사랑했다', '좋다', '믿듣 필잇', '아 이걸 일등 뺏기내']"
4,[Playlist] 🍀봄의 부드러운 향기를 느끼고 싶을 때 들어요,/watch?v=Z_JhB8Kcufo,"['', '#팝송 #봄 #플레이리스트']","['요즘 날씨가 너무 좋네요 다들 건강하세요!![Timeline]0:01 Joseph Vincent - My Girl3:48 Pink Sweat$ - I Feel Good6:02 slchld - she likes spring, I prefer winter9:30 Nick Jonas - 2Drunk12:41 Jake Miller - Parade (acoustic)16:13 Chris James - Not Angry 19:33 Alex Aiono - Be Alright Forever22:35 BRDGS - LA Without You25:23 Frawley - Losers 28:43 MisterWives - decide to be happy', '첫 곡부터 센스 뭐야 ~ 너무 좋아요! 필잇님도 건강하세요 ~~', '노래가 하나하나 다좋아요', '아.. 이거 들으니 다시 봄 캠퍼스를 거닐고 싶다.  감사합니다', '인트로 ㅋㅋㅋ 몬가 기분좋은 신호가 올것같은 너낌쓰~~~~', '아 ㅋ 힐링된다 ㅋㅋㅋㅋ', '저 유튜브 프리미엄이에요']"
5,[Playlist] 여유로운 아침,/watch?v=ngk4Y_WC828,"['', '#팝송 #플레이리스트 #아침']","['여러분 환절기인 만큼 감기 조심하시고 또 코로나 조심하세요! 구독자 여러분들은 다 건강하면 좋겠습니다 우리 모두 힘내서 잘 이겨내보아요[Timeline] 0:01 heyden - all i need (feat. gem)3:15 Virginia To Vegas - sunny days6:42 Breland - Cross Country10:06 Christian French - good things take time12:42 John K - A LOT15:46 Johnny Stimson - Vacation19:13 Mitch James - Bright Blue Skies22:16 Peder Elias - Best Friend24:52 Marc E. Bassy - Dirty Water27:33 Jaden - Falling For You (feat. Justin Bieber)', '노래가 넘 좋네요^_^ 코로나 항상 조심하세요!!', '주말 아침에 눈뜨고 뒹굴뒹굴 할때 틀어놓기 좋음 ㅎㅎㅎㅎ ', '아침에 들으니 넘 좋네요^^ 이겨내세요~!!.홧팅', '노래 굳']"
6,[Playlist] 로맨스 영화 무드의 팝송 플레이리스트,/watch?v=h71AT1e4w0Q,"['', '[Playlist] 로맨스 영화 무드의 팝송 플레이리스트']","[""여러분 덕분에 제가 '윌라 오디오북'의 스폰서쉽을 받게 되었습니다! 그래서 '윌라 1개월 무료 이용 +3개월 50%할인' 쿠폰이 '필잇' 이름으로 발급되었습니다:) 무료 기간 중 언제든지 해지가 가능하며 추가 비용이 들지 않습니다. 아쉽게도 신규 회원만 가능합니다.쿠폰은 아래의 방법으로 사용 가능합니다. 1. Url 클릭 회원가입: https://www.welaaa.com/membership/purchase-form/premium?crmCode=필잇2. 홈페이지 직접 등록: 윌라 홈페이지 회원 가입 시 할인 쿠폰에 '필잇' 입력 (영어로 입력하시면 안됩니다!)운전하거나 잠자기 전에 들으시면 좋을 것 같아요  저도 앞으로 애용할 예정입니다! 윌라 오디오북 많은 사랑 부탁드립니다~![Timeline] 0:01 ZUHAIR - My Favourite Muse4:22 Bren Joy - Multiply8:28 Jeff Bernat - If You Wonder11:40 HONNE - Back On Top (feat. Griff)14:33 Gabe Bondoc - Stronger Than18:57 slchld - you won't be there for me 21:58 Brandon Mig - Driving in the City25:28 Faime - Follow Me28:02 John K - 6 months"", '잠이 안와서 눈감고 들을 거 찾고있었는데첫 노래 듣자 마자 바로 이거다 싶었어요감사합니다 선곡 너무 좋아요', '이분 선곡솜씨는 언제봐도 훌륭', '으아아아 넘 좋아요 진짜 필잇님 선곡은 ️️', '좋은 노래 감사합니다.  노래 잘 들을게요 선곡도 좋아서 매일매일 듣겠습니다 !!\r코로나 때문에 힘드신데 감사합니다(?) 화이팅', '와 진짜 대박이에요 피크닉 갈 때 들어야겠어요 진짜 대박 너무 좋아요', '정말 감사해요 ️ 항상 잘듣고있어요  최고  좋은하루 보내세요 ', '선곡 넘 조하,,,뭐지 왜 설레지??️', '미친 개 좋아요 절 듣고 가요 빡쳐서 암거나 검색했는데 이 너래 나와서 넘 잘 듣고 갑니다사랑해용,,,,,,,️\u200d', '와...... 너무 좋아요 ㅋㅋㅋ', '야근한다구 아무거나 틀었는데 뭐지? 너무 좋아서 다시한번 보게되는 선곡..! 좋아요 10개씩 누를수 있으면 좋겟따아', '썸네일 영화 제목이 뭐에요~|???', '틀고만 있었는데 내방이 고급 레스토랑이 됐다', '']"
7,[Playlist] 위로가 필요할 때 들으면 좋은 감성힙합 플레이리스트,/watch?v=kq7wE2ZTqrk,"['', '[Playlist] 위로가 필요할 때 들으면 좋은 감성힙합 플레이리스트']","['[Timeline]0:01 키썸 - 사실 누군가 날 감싸 안아 주길 원해3:30 릴러말즈 - 도시생활6:44 MELOH - SMILE11:02 Jay Park - Dank14:21 지코 - 사람18:18 코드쿤스트 - 꽃22:51 폴블랑코 - 믿어25:58 빅나티 - 휴', '릴러야 올해도 노래해줘서 고마워️\u200d', '키썸님 음색 좋아용 ㅎㅎㅎㅎ', '첫곡부터 엄청난 위로가 되네융', '역시 feel it', '키썸 신곡인가요? 좋네요.']"
8,[Playlist] 청춘의 사랑 | 달달하고 설레는 팝송 플레이리스트,/watch?v=d159qhY_czM,"['', '#팝송 #플레이리스트 #사랑']","['[Timeline]0:00 Chris Burton - Young (feat. Zophia)3:02 Peder Elias - Loving You Girl5:53 joan - so good8:25 AJ Mitchell - Hi-Lo11:20 Sam MacPherson - Counts13:53 Surf Mesa, Madison Beer - Carried Away16:54 KELLA - Boys Like You 19:26 Jack Newsome - All My Friends Are Falling In Love22:32 LANY - cowboy in LA26:04 Justin Bieber - Off My Face', '다른 플리 거의 다 들어봤는데 여기만큼 좋은데는 없었다.. 앞으로도 좋은 플리 많이 만들어줘ㅓ!ㅋㅋ', '어머~ 그냥 지나칠 수 없는 플레이 리스트에요~~ 정말 최고에요 !! 행복 붙으시길 기원할게요~!!', '아니 플리 너무 좋은데 왜 댓글이 없지...?듣고 너무 좋아서 놀랐어요!10만 가셨으면 좋겠어요ㅠㅠ!!', '너무 조아요,,플리듣는 모든분들 봄에 설레는 일이 생길거에요!!!! (썸️️)', '간만이네유여전한 믿듣플레새해에도 복만 마이 받으세오', '아 노래 너무 좋고 사진도 넘 좋코,,유명해지지마 당신 ㅠㅠㅠ', '이분 선곡 참 좋네', '저 배경 제 잠금화면 보고 따라한거쥬']"
9,[Playlist] 침대에 누워서 듣기 좋은 포근한 알앤비 플레이리스트,/watch?v=3-7sRaVH8fQ,"['', '#알앤비 #플레이리스트 #이불밖은위험해']","['[Timeline]0:01 Colde, 정유미, APRO - 충분해3:01 공기남 - 인셉션 (feat. 1ho, Chan)6:21 김뮤지엄 - Paint Laurent9:34 Hoody - 꿈속에서 (feat. 구원찬)12:55 개코 - Vacation (feat. SOLE)17:11 양다일, 빈센트블루 - 오늘이 지나면21:12 jeebanoff - 신호등23:42 Myle.D - Overfill27:07 DEAN - 넘어와 (feat. 백예린)', '항상 잠잘때 힘들고 요즘 이런 노래를 찾는데 지금까지 들은 노래중에서 제일 마음에 와닷는 노래다~ㅎㅎ', '헐....완전 취향저격.... 플리에 댓글 처음 달아봐요..... 너무감사합니다', ' 내가 좋아하는 음악', '노래다넘조아요', '첫곡이 가장 좋네요', '늘 잘듣고있습니다', '첫 곡 처음 듣는데 좋네요', '띵곡 맛집️', '흥분되네용', 'ㄷ']"
