,대분류,소분류,Anger(분노),Anticipation(기대),Joy(기쁨),Trust(신뢰),Fear(두려움),Surprise(놀라움),Sadness(슬픔),Disgust(혐오)
1,기쁨,신이 난,0,80,100,0,0,0,0,0
2,기쁨,안도,0,30,10,80,0,0,0,0
3,기쁨,흥분,0,90,100,0,0,20,0,0
4,기쁨,기쁨,0,80,100,0,0,0,0,0
5,기쁨,만족스러운,0,60,80,20,0,0,0,0
6,기쁨,자신하는,0,80,80,80,0,0,0,0
7,기쁨,편안한,0,0,70,70,0,0,0,0
8,기쁨,감사하는,0,0,80,90,0,0,0,0
9,기쁨,신뢰하는,0,0,60,100,0,0,0,0
10,기쁨,느긋,0,0,50,70,0,0,0,0
11,당황,당황,0,0,0,0,0,90,0,0
12,당황,남의 시선을 의식하는,0,0,0,0,70,0,0,0
13,당황,죄책감의,0,0,0,0,100,0,0,0
14,당황,혼란스러운,0,0,0,0,50,0,0,0
15,당황,한심한,0,0,0,0,0,0,0,70
16,당황,혐오스러운,0,0,0,0,60,0,0,100
17,당황,부끄러운,0,0,0,0,30,0,0,0
18,당황,고립된,0,0,0,0,60,0,0,0
19,당황,외로운,0,0,0,0,40,0,0,0
20,당황,열등감,80,0,0,0,50,0,0,60
21,분노,구역질 나는,100,0,0,0,0,0,0,70
22,분노,좌절한,50,0,0,0,0,0,0,0
23,분노,분노,100,0,0,0,0,50,0,80
24,분노,안달하는,60,0,0,0,0,0,0,60
25,분노,노여워하는,80,0,0,0,0,0,0,20
26,분노,짜증내는,90,0,0,0,0,0,0,30
27,분노,방어적인,70,0,0,0,0,0,0,0
28,분노,툴툴대는,60,0,0,0,0,0,0,40
29,분노,성가신,50,0,0,0,0,0,0,20
30,분노,악의적인,100,0,0,0,0,0,0,60
31,분노,질투하는,90,0,0,0,30,0,0,30
32,불안,스트레스 받는,50,0,0,0,50,0,0,0
33,불안,취약한,0,0,0,0,60,0,0,0
34,불안,당혹스러운,0,0,0,0,70,50,0,0
35,불안,두려운,0,0,0,0,100,0,0,0
36,불안,회의적인,0,0,0,0,60,0,0,0
37,불안,걱정스러운,0,0,0,0,70,0,0,0
38,불안,조심스러운,0,0,0,0,50,0,0,0
39,불안,불안,0,0,0,0,100,0,10,0
40,불안,초조한,0,0,0,0,90,0,20,0
41,상처,배신당한,40,0,0,0,0,0,80,20
42,상처,충격 받은,20,0,0,0,0,80,60,20
43,상처,상처,20,0,0,0,50,0,70,30
44,상처,억울한,30,0,0,0,0,0,100,0
45,상처,버려진,20,0,0,0,60,0,100,30
46,상처,괴로워하는,20,0,0,0,40,0,80,20
47,상처,"가난한, 불우한",10,0,0,0,30,0,90,0
48,상처,희생된,10,0,0,0,60,0,100,0
49,슬픔,우울한,10,0,0,0,10,0,100,0
50,슬픔,눈물이 나는,10,0,0,0,0,0,100,0
51,슬픔,낙담한,0,0,0,0,0,0,100,0
52,슬픔,마비된,0,0,0,0,10,0,100,0
53,슬픔,염세적인,30,0,0,0,0,0,100,0
54,슬픔,환멸을 느끼는,40,0,0,0,0,0,100,50
55,슬픔,비통한,30,0,0,0,0,0,100,20
56,슬픔,실망한,10,0,0,0,0,0,100,0
57,슬픔,슬픔,10,0,0,0,0,0,100,0
58,슬픔,후회되는,0,0,0,0,0,0,100,0
