,대분류,소분류,Anger(분노),Anticipation(기대),Joy(기쁨),Trust(신뢰),Fear(두려움),Surprise(놀라움),Sadness(슬픔),Disgust(혐오)
1,기쁨,신이 난,0,0,100,100,0,90,0,0
2,기쁨,안도,0,0,100,100,0,90,0,0
3,기쁨,흥분,0,0,100,100,0,100,0,0
4,기쁨,기쁨,0,0,100,100,0,90,0,0
5,기쁨,만족스러운,0,0,100,100,0,90,0,0
6,기쁨,자신하는,0,0,100,100,0,90,0,0
7,기쁨,편안한,0,0,100,100,0,80,0,0
8,기쁨,감사하는,0,0,100,100,0,90,0,0
9,기쁨,신뢰하는,0,0,100,100,0,90,0,0
10,기쁨,느긋,0,0,100,100,0,60,0,0
11,당황,당황,30,50,0,50,80,70,30,50
12,당황,남의 시선을 의식하는,30,50,0,50,80,70,30,50
13,당황,죄책감의,30,50,0,0,80,70,30,50
14,당황,혼란스러운,30,50,0,0,80,70,30,50
15,당황,한심한,30,50,0,0,80,70,30,50
16,당황,혐오스러운,30,50,0,0,80,70,30,50
17,당황,부끄러운,30,50,0,0,80,70,30,50
18,당황,고립된,30,50,0,0,80,70,30,50
19,당황,외로운,30,50,0,0,80,70,30,50
20,당황,열등감,30,50,0,0,80,70,30,50
21,분노,구역질 나는,100,60,0,0,60,30,50,70
22,분노,좌절한,100,60,0,0,60,30,50,70
23,분노,분노,100,60,0,0,60,30,50,70
24,분노,안달하는,100,60,0,0,60,30,50,70
25,분노,노여워하는,100,60,0,0,60,30,50,70
26,분노,짜증내는,100,60,0,0,60,30,50,70
27,분노,방어적인,100,60,0,0,60,30,50,70
28,분노,툴툴대는,100,60,0,0,60,30,50,70
29,분노,성가신,100,60,0,0,60,30,50,70
30,분노,악의적인,100,60,0,0,60,30,50,70
31,분노,질투하는,100,60,0,0,60,30,50,70
32,불안,스트레스 받는,30,80,0,0,100,60,70,50
33,불안,취약한,30,80,0,0,100,60,70,50
34,불안,당혹스러운,30,80,0,0,100,60,70,50
35,불안,두려운,30,80,0,0,100,60,70,50
36,불안,회의적인,30,80,0,0,100,60,70,50
37,불안,걱정스러운,30,80,0,0,100,60,70,50
38,불안,조심스러운,30,80,0,0,100,60,70,50
39,불안,불안,30,80,0,0,100,60,70,50
40,불안,초조한,30,80,0,0,100,60,70,50
41,상처,배신당한,40,50,0,0,90,70,80,100
42,상처,충격 받은,40,50,0,0,90,70,80,100
43,상처,상처,40,50,0,0,90,70,80,100
44,상처,억울한,40,50,0,0,90,70,80,100
45,상처,버려진,40,0,0,0,90,70,80,100
46,상처,괴로워하는,40,0,0,0,90,70,80,100
47,상처,"가난한, 불우한",40,0,0,0,90,70,80,100
48,상처,희생된,40,0,0,0,90,70,80,100
49,슬픔,우울한,50,0,0,0,100,80,100,70
50,슬픔,눈물이 나는,50,0,0,0,100,80,100,70
51,슬픔,낙담한,50,0,0,0,100,80,100,70
52,슬픔,마비된,50,0,0,0,100,80,100,70
53,슬픔,염세적인,50,0,0,0,100,80,100,70
54,슬픔,환멸을 느끼는,50,0,0,0,100,80,100,70
55,슬픔,비통한,50,0,0,0,100,80,100,70
56,슬픔,실망한,50,0,0,0,100,80,100,70
57,슬픔,슬픔,50,0,0,0,100,80,100,70
58,슬픔,후회되는,50,0,0,0,100,80,100,70
