"","소분류","Anger.분노.","Anticipation.기대.","Joy.기쁨.","Trust.신뢰.","Fear.두려움.","Surprise.놀라움.","Sadness.슬픔.","Disgust.혐오."
"1","가난한, 불우한",16.6666666666667,0,0,0,30,17.5,57.5,25
"2","감사하는",0,2.5,57.5,85,0,22.5,0,0
"3","걱정스러운",7.5,45,0,0,62.5,15,25,12.5
"4","고립된",7.5,12.5,0,0,55,17.5,15,12.5
"5","괴로워하는",20,0,0,0,42.5,17.5,70,35
"6","구역질 나는",85,15,0,0,15,7.5,12.5,65
"7","기쁨",0,20,100,25,0,22.5,0,0
"8","낙담한",12.5,0,0,0,35,20,95,22.5
"9","남의 시선을 의식하는",7.5,25,0,12.5,45,42.5,7.5,12.5
"10","노여워하는",90,15,0,0,15,7.5,12.5,22.5
"11","눈물이 나는",17.5,0,2.5,0,27.5,22.5,100,20
"12","느긋",0,0,42.5,72.5,0,15,0,0
"13","당혹스러운",7.5,25,0,0,72.5,72.5,17.5,12.5
"14","당황",7.5,37.5,0,12.5,37.5,72.5,7.5,12.5
"15","두려운",7.5,20,0,0,75,15,17.5,12.5
"16","마비된",25,0,0,0,47.5,45,87.5,17.5
"17","만족스러운",0,15,75,35,0,22.5,0,0
"18","방어적인",47.5,15,0,0,27.5,7.5,12.5,30
"19","배신당한",50,14.5,0,0,22.5,42.5,45,67.5
"20","버려진",27.5,0,0,0,50,17.5,87.5,35
"21","부끄러운",7.5,22.5,0,0,42.5,17.5,7.5,32.5
"22","분노",100,15,0,0,15,20,12.5,37.5
"23","불안",7.5,57.5,0,0,95,15,20,12.5
"24","비통한",20,0,0,0,27.5,20,100,35
"25","상처",35,12.5,0,0,35,17.5,67.5,42.5
"26","성가신",52.5,35,0,0,15,7.5,12.5,22.5
"27","스트레스 받는",20,45,0,0,62.5,15,17.5,22.5
"28","슬픔",15,0,0,0,25,20,100,17.5
"29","신뢰하는",0,12.5,40,100,0,22.5,0,0
"30","신이 난",0,55,100,25,0,22.5,0,0
"31","실망한",22.5,2.5,0,0,25,25,65,20
"32","악의적인",60,25,0,0,15,7.5,12.5,70
"33","안달하는",45,35,0,0,27.5,7.5,12.5,32.5
"34","안도",0,15,32.5,77.5,0,22.5,0,0
"35","억울한",45,12.5,0,0,25,17.5,57.5,30
"36","열등감",45,17.5,0,0,50,17.5,12.5,47.5
"37","염세적인",25,12.5,0,0,25,30,70,45
"38","외로운",7.5,12.5,0,0,42.5,17.5,30,12.5
"39","우울한",15,0,0,0,27.5,20,90,27.5
"40","자신하는",0,40,45,90,0,22.5,0,0
"41","조심스러운",7.5,32.5,0,0,57.5,15,17.5,12.5
"42","좌절한",55,15,0,0,27.5,7.5,50,22.5
"43","죄책감의",7.5,12.5,0,0,57.5,17.5,40,32.5
"44","질투하는",52.5,35,0,0,47.5,7.5,12.5,37.5
"45","짜증내는",82.5,35,0,0,15,7.5,12.5,27.5
"46","초조한",7.5,52.5,0,0,85,15,22.5,12.5
"47","충격 받은",20,12.5,0,0,22.5,87.5,50,30
"48","취약한",7.5,40,0,0,65,15,25,12.5
"49","툴툴대는",52.5,20,0,0,15,7.5,12.5,27.5
"50","편안한",0,5,55,77.5,0,20,0,0
"51","한심한",7.5,17.5,0,0,20,17.5,30,57.5
"52","혐오스러운",7.5,12.5,0,0,35,17.5,7.5,87.5
"53","혼란스러운",7.5,27.5,0,0,50,17.5,7.5,12.5
"54","환멸을 느끼는",35,25,0,0,25,35,75,67.5
"55","회의적인",7.5,30,0,0,40,15,17.5,27.5
"56","후회되는",15,0,0,0,25,20,67.5,30
"57","흥분",0,57.5,67.5,25,0,42.5,0,0
"58","희생된",12.5,0,0,0,40,22.5,82.5,25
