,category,text,anger,Anticipation,Joy,Trust,Fear,Surprise,Sadness,Disgust
0,불우한,우리 집이 잘 못산다는 것을 친구들이 알게 되었을 때 정말 억장이 무너지는 것 같았어.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
1,불우한,학급비를 내지 못하고 있을 때 친구들에게 따돌림을 당할까봐 심장이 조마조마 했어.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
2,불우한,부모님의 지갑을 보고 나니 체험학습 비 달라는 말을 못하겠어.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
3,불우한,우리 집이 불우한 것이 친구들 사이에선 놀림거리로 여겨지고 있어.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
4,불우한,내가 돈이 없는 것으로 인해 따돌림 당한다는 사실을 부모님이 알아버리셨어,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
5,불우한,친구 생일 파티 때 선물을 사줄 돈이 없어서 빈손으로 갔다가 애들에게 욕을 들었어.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
6,불우한,아무리 가난한 것을 숨기려고 해도 반 아이들은 내 외모만 보고도 거지라고 놀려.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
7,불우한,친구들과 어울리기 위해 예쁜 옷을 사고 싶다는 말이 목구멍까지 올라왔어.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
8,불우한,나도 다른 친구들처럼 오리털 파카 입고 이 따돌림으로부터 벗어나고 싶어,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
9,불우한,부모님께서 힘들게 주신 용돈을 모두 무서운 애들에게 뺏기고 말았어.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
10,불우한,나도 다른 애들에게 비난 받지 않도록 학급비를 제때 낼 수 있으면 좋겠어.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
11,불우한,돈이 있다면 꼭 친구들과 함께 수학여행을 가고 싶어.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
12,불우한,우리 집이 가난하다면서 친구들이 나를 따돌렸어.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
13,불우한,친구들은 학교 끝나고 놀러 갈 일이 있으면 나를 끼워주지 않아.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
14,불우한,날 따돌리는 친구가 내가 돈이 없어서 수학여행에 가지 못하는 것을 소문 냈어.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
15,불우한,학교지원으로 급식을 무료로 먹는다고 나를 보며 수군거려.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
16,불우한,다니고 싶은 학원이 있는데 엄마가 보내주지 못해서 미안하다고 하셨어. 죄송하기도 하고 가난하다는 사실에 마음이 아파.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
17,불우한,어렸을 때부터 먹고 싶은 걸 부모님이 많이 사주지 못하셨어. 불우하다는 사실이 나를 우울하게 해.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
18,불우한,빚을 내서 대학에 가는 것보단 부모님을 도와 일을 하는 게 나을 걸 알면서도 마음이 힘들어.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
19,불우한,친구들이 왜 나만 우유를 받는지 묻더라. 이럴 때마다 머리가 새하얘지고 가난한 우리 집이 너무 싫어져.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
20,불우한,엄마 아빠가 아무리 열심히 일을 하더라도 우리 집은 계속 가난할 것 같아 너무 우울해.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
21,불우한,우리 아빠는 나한테 제대로 된 선물 한 번 준 적 없으셔.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
22,불우한,아무도 내 생일은 안 챙겨줘.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
23,불우한,내가 내 생각을 말하려고 할 때마다 아빠는 나를 때리셨어.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
24,불우한,이렇게 작은 집에 사는 사람은 나밖에 없을 것 같아.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
25,불우한,우리 집은 왜 이렇게 가난한 건지 모르겠어.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
26,불우한,가난하면 행복해질 수 없는 것 같아.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
27,불우한,어차피 나도 가난하게 살 텐데 왜 공부를 열심히 해야 하는 거야?,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
28,불우한,아빠가 난 공부해도 안 될 머리라고 빨리 돈이나 벌래.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
29,불우한,공부하면 달라진다는 말 못 믿겠어.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
30,불우한,엄마한테 나는 엄마처럼 살지 말라는 말을 들었어.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
31,불우한,우리 집은 너무 가난해서 어릴 적 추억이 하나도 없어.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
32,불우한,엄마는 학원에 다니고 싶은 내 말을 무시하고 학원에 보내주지 않아서 상처를 받았어.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
33,불우한,나도 부잣집 도련님으로 태어났다면 좋았을 뻔 했어.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
34,불우한,용돈이 너무 부족해서 알바라도 하고 싶은 심정이야. 너무 속상해.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
35,불우한,맨날 힘들게 공부하느니 차라리 나가서 돈을 벌겠어. 너무 속상해.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
36,불우한,가난에서 벗어나고 싶은 마음이 커. 너무 속상해.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
37,불우한,부모님께서 주신 용돈을 벌써 다 썼어. 너무 걱정이야.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
38,불우한,합의금 때문에 징계가 무산되다니 정말 화가 나.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
39,불우한,내 교복을 다 찢어놨는데 다시 살 돈이 없어서 결국 사복을 입고 등교했어. 내 탓이 아닌데 정말 슬프다.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
40,불우한,우리 집이 가난한 이유로 난 요즘 따돌림 받고 있어.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
41,불우한,시장에서 일하는 우리엄마를 보고 친구들이 나를 무시하기 시작했어.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
42,불우한,취업 준비만 하다 보니 통장이 텅텅 비어가네.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
43,불우한,이번에 취업 못하면 당분간 쫄쫄 굶어야 돼.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
44,불우한,이번에 회사서 잘렸는데 이번 달 생활비 어떡하지.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
45,불우한,직장이 경제적으로 불안정해서 월급도 제때 안주네.,16.6666666666667,0.0,0.0,0.0,30.0,17.5,57.5,25.0
